"Gene","logFC_TCGA","adjP_TCGA","logFC_METABRIC","adjP_METABRIC","Concordant"
"CRISPLD2",1.09058025210084,4.2307030537052e-05,1.29820818181818,0.0119404409137741,TRUE
"MSRB3",1.07460924369747,0.015286237873092,1.31508636363636,0.00345258302713159,TRUE
"LOXL1",1.05851785714285,0.00247166524789426,1.09835,0.0211829671470349,TRUE
"NUAK1",1.04828067226891,0.00019404281283535,1.39242863636364,0.0123656281321851,TRUE
"FIBIN",1.03939852941177,0.0294680522738297,1.33903818181818,0.0184510929974902,TRUE
"PRRX1",1.03648025210084,0.000396999741660683,0.972500909090909,0.0435067938087906,TRUE
"BMP1",1.02185441176471,3.10488094961949e-08,1.37365909090909,0.0146339496301578,TRUE
"PMEPA1",1.01910714285714,0.00199030229222696,1.17536,0.0438650244915221,TRUE
"OLFML3",1.01538109243697,0.00213212987577885,1.13894181818182,0.0423367777786739,TRUE
"COX7A1",1.00274348739496,0.0112990643837389,1.16312363636364,0.00769124644052932,TRUE
"TGFB1I1",1.00157731092437,0.00115179455470409,1.55052590909091,0.00448400514141323,TRUE
