"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PRDXDD1P",0.0643447478991579,4.37508225806452,0.308883779414686,0.758463526940121,0.945264037863817,-6.38413967122964
"OR56B1",-0.0405361344537815,0.396141935483871,-0.308866974529794,0.758476248891946,0.945264037863817,-6.3841448047061
"C17orf71",0.042762184873947,9.09156451612903,0.308824766206144,0.758508202531007,0.945264037863817,-6.38415769707667
"IPO7",-0.0482481092437013,11.9840806451613,-0.308671539806632,0.758624205503159,0.94532310480513,-6.38420448473208
"RAB39",-0.0899464285714298,3.79872096774194,-0.308619546697957,0.758663569144423,0.94532310480513,-6.38422035555972
"ADRBK2",-0.0536957983193282,9.14224677419354,-0.30857937926428,0.758693980083672,0.94532310480513,-6.38423261479101
"HFE",0.0713445378151265,7.01868870967742,0.308423139785503,0.758812273311928,0.945341998234078,-6.38428028446179
"GPR45",-0.0675943277310924,1.03765,-0.308393701862725,0.758834562224756,0.945341998234078,-6.38428926346728
"HIST3H3",0.0229161764705882,0.156341935483871,0.30826606466091,0.758931205062172,0.945341998234078,-6.38432818483509
"FERMT3",-0.0565306722689112,9.41405645161291,-0.308184571334772,0.758992911240336,0.945341998234078,-6.3843530268046
"RBM16",-0.0365159663865491,10.3529822580645,-0.308109128138494,0.759050037704318,0.945341998234078,-6.38437601865031
"TXN",-0.0545781512605039,11.6568129032258,-0.308108458085559,0.759050545082216,0.945341998234078,-6.38437622282853
"OR6B3",0.00976155462184874,0.0262209677419355,0.30808384107317,0.759069185665276,0.945341998234078,-6.38438372380611
"LIMD2",0.0701781512605066,9.29554193548387,0.308059099144981,0.759087920982092,0.945341998234078,-6.38439126224444
"MAGEB10",0.0915594537815126,0.379206451612903,0.308011066400558,0.759124293204754,0.945341998234078,-6.3844058952693
"TRIM11",0.0495222689075661,9.42971451612904,0.307881776933257,0.759222198824432,0.945390295166911,-6.38444527159907
"LOC25845",-0.0441684873949626,8.28715,-0.307838017966999,0.759255336593744,0.945390295166911,-6.38445859507337
"MNT",0.0283609243697445,8.97122419354839,0.30774833308974,0.75932325453087,0.94541411761337,-6.38448589590134
"OR2T11",0.0073186974789916,0.0144241935483871,0.307690923899675,0.759366731240054,0.94541411761337,-6.38450336757719
"TUBA1B",0.0369373949579845,14.3738774193548,0.307569946137843,0.759458351787988,0.945440291192348,-6.38454017481185
"HTR2C",-0.056779831932773,0.468998387096774,-0.307541336657575,0.759480019220241,0.945440291192348,-6.3845488770777
"LANCL2",-0.0783399159663887,9.42758225806452,-0.307376963144369,0.759604511492448,0.945484810498074,-6.38459885962356
"PLEK",-0.0629149159663811,10.0500161290323,-0.307271340676175,0.759684510602861,0.945484810498074,-6.3846309631487
"TMEM167B",-0.031847689075633,10.3363887096774,-0.30723152203488,0.759714670171906,0.945484810498074,-6.38464306301014
"KIR3DX1",-0.0490863445378154,0.715270967741936,-0.307195691775383,0.75974180916747,0.945484810498074,-6.38465394956876
"IL18",-0.0692861344537814,8.11662580645161,-0.307189557477795,0.759746455512944,0.945484810498074,-6.38465581326846
"TMLHE",0.0640239495798287,7.73472419354839,0.307032590337232,0.759865351293883,0.945546708568459,-6.3847034898269
"ZBED3",0.0558817226890769,4.72034838709677,0.307002070637638,0.759888469314069,0.945546708568459,-6.38471275693524
"TNFRSF10D",-0.133314915966388,6.04605967741936,-0.306896866207009,0.75996816110665,0.945551794308998,-6.38474469453798
"RAB6A",0.032124159663864,12.0164129032258,0.306874858137317,0.759984832431825,0.945551794308998,-6.38475137429273
"KRT16",-0.222047058823527,9.58898225806451,-0.306616252555491,0.760180737213535,0.945590787324966,-6.38482982890582
"PFDN5",-0.0456329831932791,11.5376290322581,-0.30659931369013,0.760193569678318,0.945590787324966,-6.3848349654428
"PHOSPHO2",0.0705453781512588,5.48107903225806,0.306598142969328,0.760194456589894,0.945590787324966,-6.38483532044142
"ROCK1",0.0495294117647056,10.6224112903226,0.306589858790562,0.760200732505423,0.945590787324966,-6.384837832421
"CD40LG",-0.0963787815126054,5.6018935483871,-0.306413571482457,0.760334287809872,0.945667560699282,-6.38489127130233
"RPL13AP20",0.0596025210084052,4.63352096774194,0.306373076790544,0.760364967631827,0.945667560699282,-6.38490354233989
"LOC646813",-0.00609264705882353,0.0120338709677419,-0.306325669926875,0.760400884784008,0.945667560699282,-6.3849179059069
"RBKS",-0.0620970588235314,6.05309677419355,-0.305974761791409,0.760666761917134,0.94581510959027,-6.38502415689589
"CCDC61",0.0602817226890746,6.71631129032258,0.305952368468502,0.760683729941247,0.94581510959027,-6.38503093321834
"NUDT11",0.146396638655464,5.23046774193548,0.305943878324965,0.760690163182601,0.94581510959027,-6.38503350224554
"C7orf36",-0.0486535714285692,7.56972258064517,-0.305925445251476,0.760704130544374,0.94581510959027,-6.38503907965303
"CNDP2",-0.046448109243693,11.9363177419355,-0.305796066575688,0.76080216738188,0.94587157984721,-6.38507821712111
"BANF2",-0.0143892857142857,0.0610483870967742,-0.305680197884204,0.76088997035485,0.94587157984721,-6.38511325376708
"TYRO3",0.0473850840336141,8.18595322580645,0.305649104044264,0.760913533180956,0.94587157984721,-6.3851226537425
"RIMKLB",-0.0802995798319355,8.59862903225807,-0.305618197381376,0.760936954390025,0.94587157984721,-6.38513199618782
"LOC121952",-0.053154411764706,0.746975806451613,-0.305548943633022,0.760989436009225,0.94587157984721,-6.38515292674498
"FAM83F",0.0715936974789901,7.98074677419355,0.305423141011745,0.76108477416899,0.94587157984721,-6.38519093596881
"OR6W1P",0.0218539915966387,0.0879451612903226,0.305399297649556,0.761102844022996,0.94587157984721,-6.38519813809547
"ZNF622",0.0370075630252078,9.12895161290322,0.305378273587313,0.761118777362172,0.94587157984721,-6.38520448815931
"UNC5A",-0.172820798319328,4.12419516129032,-0.305112645042085,0.761320096099197,0.945982102177125,-6.38528468051417
"LILRA1",0.0850739495798307,2.96206774193548,0.305079351442564,0.761345330343817,0.945982102177125,-6.38529472683259
"SLC22A7",-0.0259466386554622,0.153685483870968,-0.305078218814536,0.761346188802064,0.945982102177125,-6.38529506858302
"NCKAP5L",0.0423630252100864,8.73647419354839,0.304951234893873,0.761442436248592,0.946024813115289,-6.38533337570979
"BCL2L12",-0.0563021008403357,8.45270322580645,-0.304911062649763,0.761472885583576,0.946024813115289,-6.38534549112474
"ECHDC1",-0.0768672268907551,9.97546129032258,-0.304779199201675,0.761572836712934,0.946091635788014,-6.38538524820511
"MEF2A",-0.0527094537815138,10.4682483870968,-0.304552269133933,0.761744856900415,0.946247975349564,-6.38545362791366
"LOC613037",-0.134620168067224,3.36449032258065,-0.304338847703093,0.761906648122728,0.946391590194993,-6.38551789080169
"BMI1",0.0536773109243711,10.506164516129,0.304048418854404,0.762126834513136,0.946481765504134,-6.3856052690958
"MRPS18A",-0.0410844537815116,9.66824838709677,-0.303965976570701,0.762189341090921,0.946481765504134,-6.38563005749009
"LEKR1",-0.07942268907563,3.99792419354839,-0.303911825305037,0.762230398682529,0.946481765504134,-6.38564633581526
"CFHR4",0.0251140756302521,0.105675806451613,0.303910351765448,0.762231515932604,0.946481765504134,-6.38564677873322
"SH3BGRL3",-0.046239705882348,12.0855677419355,-0.303823380627551,0.762297459078189,0.946481765504134,-6.3856729168105
"TMEM159",-0.0506212184873895,9.8626935483871,-0.303750549113135,0.762352682656981,0.946481765504134,-6.38569479966476
"IL2RA",-0.0846292016806718,7.10372258064516,-0.303730978827046,0.762367521791354,0.946481765504134,-6.38570067883388
"C19orf23",0.0643361344537827,3.84035967741935,0.303709566564785,0.762383757703413,0.946481765504134,-6.38570711092405
"ACPT",0.0229848739495798,0.166990322580645,0.303694878107174,0.762394895332402,0.946481765504134,-6.38571152297005
"MTRF1",0.0406884453781542,6.61959516129032,0.303632178880308,0.762442438040625,0.94648345297744,-6.38573035386063
"FOXJ2",0.0418695378151241,9.9621,0.303547873768731,0.762506365210103,0.946505478414043,-6.38575566768559
